	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:32:48 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
"262144"   0  0  0  0  2340632  3271763  3416130  3329232  3306764  2997203  3056187  2917576  2642448 
"524288"   0  0  0  0  2070402  2961157  3023939  3021363  2922698  2954350  2853358  2539713  2121995 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   7100397  10821524  15972885  22737791  15972885 
"128"   9795896  14200794  15881078  9129573  18637664  21643049 
"256"   10651598  14164395  15835569  18259146  12812277  18259146  19591792 
"512"   10434519  8394979  15583417  17630404  17776344  15471149  17069844  7871843 
"1024"   9381637  12313351  14668318  11903823  15743686  15516181  16037624  8970167  17056672 
"2048"   7529708  9853037  12118884  13660713  16274804  13574363  15399510  15883587  16001943  14539356 
"4096"   6737716  9658092  12151506  14072566  12765490  13207098  12194633  14475721  15059417  15396828  12606249 
"8192"   8401313  9893942  6287458  11203754  11344319  12600728  10088578  11771848  10836280  9547539  8047143  9319649 
"16384"   7272051  8493527  8316724  9718761  8709907  8291637  6831772  10316991  5864034  10530420  10156880  9530069  9178744 
"32768"   0  0  0  0  10227021  9993521  9332570  7938113  9660563  9319913  9077387  8308080  6717510 
"65536"   0  0  0  0  9703123  9350286  10439007  9369089  10439007  9343612  10509250  8747441  7959215 
"131072"   0  0  0  0  6221363  6050194  5573988  6413180  6010309  6744493  6300362  4948350  4854878 
"262144"   0  0  0  0  3145318  4656189  4357455  3856760  1288335  4516286  4361362  3809075  3415016 
"524288"   0  0  0  0  1265821  2969579  2373212  2365419  2424040  2983912  2850244  2481357  2079879 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   12310336  20962191  30484297  55857768  64000000 
"128"   14586625  21643049  31945770  31945770  41924383  41924383 
"256"   14953435  21134280  29173251  31762157  36024719  31762157  37275329 
"512"   14240069  21303197  25624554  29906870  29906870  26908901  32145217  31671139 
"1024"   13472053  14044758  24998980  29256135  28480139  29256135  24430194  24998980  32098538 
"2048"   9990553  16244028  21325256  23291219  24697509  20909969  25580074  21812621  31032362  32075249 
"4096"   10978915  12919082  16585996  20287852  23035315  20803766  23004469  14838300  10065509  25458986  30309979 
"8192"   12427541  16285735  17694735  19458391  15058135  19932489  18327093  19048469  11145606  16894307  8532752  8208631 
