Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sun Mar  9 10:38:52 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
          524288    1024   2142084   2194673    597439   1184443   2293423   2617396   1328064   18076371    1322954   1545241   1886660   2458605   1269235
          524288    2048   2801011   2456888   1777765   1567069   2026413   2290058   1302627   18463546    3113459   2566793    684266   2160383    929976
          524288    4096   1730597    680579   1302559    919808   3098831   2989254   1338797   20942917    2306744   2785817    866233    856044   1148655
          524288    8192   2448422    887379   1059623    877123   1570919   2245324   1460229   20507957    1880206   2637158    853342   2558340   1605378
          524288   16384   2147884   2109241   1839709   1661374   2882729   2776713   2023776   13774560    2743570   2401422   2147121   2150581   1311739

iozone test complete.
Timer resolution is poor. Some small transfers may have 
reported inaccurate results. Sizes 64 kBytes and below.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1780008  3958892  4274062  5389653  5735102 
"128"   4407601  3657016  3277486  6114306  4135958  4717434 
"256"   4819184  4572895  6891544  6891544  6719046  6936061  5938650 
"512"   4784885  6086873  6632013  5115422  6319739  4690818  6319739  6319739 
"1024"   4110780  3671521  4741598  2604895  5277632  4926518  5479632  5507740  5950309 
"2048"   3991965  5251194  5769681  4469720  3130664  5754221  5564129  3612546  6007763  4971585 
"4096"   2694963  4939858  5519094  6149271  5728903  6628532  6013663  7099689  6682678  6461498  3637640 
"8192"   3174166  6006101  6450345  6321001  6843471  6590145  6331484  6653956  6730861  6698058  5761377  2632364 
"16384"   3251329  5116937  6380161  6832452  6227520  6603955  6590654  6533011  6442970  6829057  6180472  4785210  2371779 
"32768"   0  0  0  0  2612271  6003587  6801280  7007613  6841228  6772792  6333065  4733266  3880175 
"65536"   0  0  0  0  2786400  6848695  6935090  6925480  6986916  6957735  6763926  5214137  3377301 
"131072"   0  0  0  0  2192937  3950905  3158666  4055687  4389975  3813225  3508897  3452637  1886855 
"262144"   0  0  0  0  1702057  3138244  3401366  3026541  3349689  3431600  3162544  2834853  2296707 
"524288"   0  0  0  0  1271028  2308489  2264282  2201817  2142084  2801011  1730597  2448422  2147884 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   5735102  10821524  1679761  15972885  20962191 
"128"   8548124  12842051  9129573  18637664  18637664  18012359 
"256"   6761355  11207494  16072608  17096249  16072608  16828306  16828306 
"512"   8701110  11877300  11138071  15583417  15143846  9468384  15471149  8955098 
"1024"   6733974  11249091  14230902  11249091  10557785  13472053  15295157  16219316  14422045 
"2048"   5209791  10351742  12635867  12635867  15289867  14321195  14840791  14638464  15289867  12416686 
"4096"   6086096  9779037  9456085  12229356  12299398  6565206  11470025  12756011  12334720  13086376  10779149 
"8192"   4926264  7765253  8515834  8761203  10041405  9977258  9871202  10738070  10251112  8876637  8668371  7781080 
"16384"   6723489  7349829  6651899  8967926  7367164  7850240  9330792  8790123  9459231  8204521  9786581  8154866  8885596 
"32768"   0  0  0  0  10638673  9963094  10182318  9834766  9735149  9191516  8948544  6808018  7217747 
"65536"   0  0  0  0  9574356  8727444  10195463  9533842  9837514  9657442  9681933  8630984  7985574 
"131072"   0  0  0  0  5346633  5814334  5645538  6166098  6003090  3719497  5497513  4894209  3794119 
"262144"   0  0  0  0  2782905  4276677  4465152  4104848  4553563  4098177  4726809  4401130  3996773 
"524288"   0  0  0  0  1302268  2092096  2361999  2334204  2194673  2456888  680579  887379  2109241 

"Reader report"
