# iozone -a -b output.xlsx
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.506 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Tue Mar 11 12:25:41 2025

	Auto Mode
	Command line used: iozone -a -b output.xlsx
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                                    random    random      bkwd     record     stride                                        
              kB  reclen    write    rewrite      read    reread      read     write      read    rewrite       read    fwrite  frewrite     fread   freread
"256"   12228612  17096249  19955913  22940409  22940409  25684103  31762157 
"512"   12146009  17069844  19736867  15471149  23391616  24457224  26908901  30329249 
"1024"   13305116  17402221  20970936  22748081  22748081  23366889  24430194  25594883  29256135 
"2048"   13138359  17360217  18600754  22796721  22498183  22736381  27286464  24416701  26204348  28844090 
"4096"   12680688  17148903  21320113  23801238  22375282  23253568  24833373  24514454  25764430  25919917  27852967 
"8192"   11735662  16886004  21612539  23472881  22940050  21212259  24149283  23266255  24371967  23537199  23472881  8200795 
"16384"   11561528  15679334  18267683  21087319  18854085  21139213  17785438  17693850  19501494  13597570  9569883  5773384  5675165 
"32768"   0  0  0  0  23611671  24715654  25680856  21875410  19174480  9999337  6908630  6166553  4744868 
"65536"   0  0  0  0  23147991  25402720  27183859  27082085  26685088  26385393  16731460  6284531  4894043 
"131072"   0  0  0  0  24090114  27053839  28953098  28462922  28769763  28877057  21537256  5111829  4530824 
"262144"   0  0  0  0  25545202  27707507  24321816  30757457  30567627  29843319  28367315  5432482  4774324 
"524288"   0  0  0  0  24011311  25844772  26451294  29816130  30997128  29736700  27932331  5396299  4738346 

"Random read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   7100397  15972885  20962191  34389688  30484297 
"128"   8548124  16365173  18012359  25804035  21643049  24620673 
"256"   9192546  14164395  21134280  25684103  28401588  21558614  32730347 
"512"   9145790  13783088  19736867  24181823  26908901  25624554  28328790  22183443 
"1024"   8000971  14183905  20088179  24854315  25748325  27045423  28480139  28480139  29256135 
"2048"   8261095  12488897  17977882  22979678  22498183  26204348  26944106  27726845  17221003  28367810 
"4096"   8240513  12727660  17063738  20359982  21779595  23128348  23967260  23670066  24690613  22640669  22730536 
"8192"   7985426  12679779  17888190  21721845  21277939  22563442  24303013  23748688  21776913  21277939  16316670  13496606 
"16384"   6812133  10101637  13170186  16664091  16094286  19833573  20177157  18204771  18598941  12526779  8086731  5498083  5538853 
"32768"   0  0  0  0  18306141  22276058  23538881  21197265  17808034  11740090  6777133  6016991  4810299 
"65536"   0  0  0  0  17664760  22897322  24110393  25883515  25580018  26246825  16899126  6043025  4520958 
"131072"   0  0  0  0  17640843  22470374  25460138  26581615  27288847  27512819  21184537  5500759  4616700 
"262144"   0  0  0  0  17347980  22166766  25237370  28112013  29150223  29725523  25920992  5673615  4690773 
"524288"   0  0  0  0  17939084  20009346  24843002  27386527  28129924  29780596  26085435  5331601  4722553 

"Random write report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   6421025  10821524  12902017  15972885  20962191 
"128"   7582312  11720614  10779307  15881078  14586625  15881078 
"256"   7735574  10245071  14353744  15164624  19591792  19955913  21558614 
"512"   6319739  10235583  8528336  16935230  18229030  19736867  19736867  14240069 
"1024"   7306780  9464330  11903823  13472053  12790037  14618393  13863422  13472053  13686709 
